,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11
Trial_1,14.544942303202355,15.845649900901687,18.14057529922378,22.033444277454493,22.90859496957193,21.38998022826622,21.18309353848363,19.06885647063549,16.773637996950175,14.329168630858478,13.100289792999183
Trial_2,11.165342587545306,15.26698071359,16.620387915988314,16.35380432032142,20.112475026501425,21.954450401690373,23.126581798158195,22.692869107066112,20.379658116278165,18.737898500850076,15.35878501854665
Trial_3,12.129080333294388,13.334289776575185,14.931750151935335,13.605349158833542,11.581378466569157,13.545314003472564,15.147378491163034,16.7431838985774,17.974292715369575,20.520024310983143,18.471135585519182
Trial_4,11.283993592140714,13.184296270292352,12.957349425404278,11.343090984021442,12.22528816065204,10.366992149649821,10.65955043913534,11.238983620458729,11.517910872736074,10.928695238813113,9.886383954396402
Trial_5,9.826277129419244,12.311261280732898,14.177215951833375,13.394367451309769,10.207547077214597,8.253463082149297,8.433814020166063,7.1252792070095445,6.940494974338678,6.868875278304428,5.693439024002689
Trial_6,11.683352981832375,12.331842041694957,12.251702432139941,11.282940999144094,10.624651859492646,10.896284490751192,11.36861064541265,11.935851636851451,12.48897706433699,12.997023190520377,13.992502154713753
Trial_7,12.395278556627567,13.337463043375436,14.173333554719745,11.401100766351819,12.479220037247593,14.607899747159369,15.389833353507594,17.669789160704806,19.5601608640459,20.693859248562624,21.55912646173671
Trial_8,11.496909620687548,12.127079402755,12.978524176861288,12.406758088250042,12.991242247405388,15.267622193167602,16.87521534698851,19.403143127763276,20.286036285037255,23.5125472290009,25.28329967651757
Trial_9,9.758197719736913,12.761820000792316,13.040567906314905,11.34507524880723,10.433600896398845,7.942474539112261,7.989970946012534,8.121631747703912,8.585123917537738,8.63884043560414,8.992703515146639
Trial_10,10.10306725072038,12.10424380298933,12.956808610910302,10.896993126716605,10.32726296730343,8.309715634767997,8.08841618934122,9.057267873922138,10.980285494708491,10.903846588017709,10.953353395956515
