,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11
Trial_1,0.4195774975976704,5.312719091800502,12.192139870418591,22.40791439033611,32.149842308881674,41.269380569910034,46.56151390626474,52.00412938203689,57.8546411147702,63.52225742560797,66.0784046236245
Trial_2,0.7576481422768617,6.714019858463393,12.963205472785328,18.139965818033335,26.978656959211513,34.15439196326332,43.907588577408035,50.93798065941065,59.57275296012429,63.84785974624421,70.54274920556922
Trial_3,-0.18311558629411637,3.9571414259849877,10.132464563247524,16.200908888814123,20.627345542390675,25.984420969087004,28.820966200704788,32.33931706241324,37.044837017855286,45.803110236095435,52.273793690976674
Trial_4,0.7832794042707679,6.797610708357935,11.668862014293422,16.82293780861909,22.523810946671706,26.720397282505242,28.875432924053197,31.0173416106585,33.922999511328065,36.81433528831452,39.803187158371
Trial_5,-0.5913245958893257,4.1443791167736785,10.380008869941424,17.735030370890435,24.6177189763786,30.032172716270335,33.93755713876586,36.63753663069548,38.689614768018735,40.290296052651236,42.484490054162514
Trial_6,0.022281543574380967,3.5165228607656456,7.007487106878399,11.26796697995726,14.531063354779883,18.365582988876373,22.472401089351425,24.331781973549433,27.368701929490335,31.00631789647703,33.15233870965794
Trial_7,0.9299547099510852,5.769653577408853,11.527716020669141,16.829477325603833,22.149742063203238,26.41363632803642,27.822969168000583,30.104905980072378,33.45046268562913,37.10880117097273,42.057529660994994
Trial_8,0.8025110063263804,4.8477027049557675,11.256025208604665,17.578551797922984,23.155748503476175,26.489954067687552,28.817954940357858,31.376050734663803,33.744592756827714,39.22460341558856,45.26625396106505
Trial_9,-0.5468076591152164,4.74480108855293,10.352101914024876,16.87153764392535,22.892734912072086,26.13459380463673,27.47354315357906,28.467839283937828,29.722127271820085,30.877274531066554,32.642986419795314
Trial_10,-0.494902768999739,4.317447775946626,9.928275668294825,15.252452701528659,20.516806402927717,23.221361436845513,23.8601640082939,24.99307975848868,26.566739952096924,27.289203343673343,28.197213410733866
