,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66
Trial_1,0.6455134285447138,2.7535485612261197,5.138869002942813,8.58717973099759,11.943342524881244,14.680953228239423,16.531210130649992,17.558417233738393,18.63717177083959,19.615310044073993,20.2882025109353,24.76779702770248,25.70742731037754,27.379968529044763,28.451829033687954,29.337945793647037,30.22530171508637,31.156450345268794,32.60996403746552,33.85591344558851,34.65236732622394,40.45055543724073,42.914383408345145,43.7272951798024,44.9247209531614,45.96782744914682,46.621984591895746,47.15903687325258,47.74192833096245,48.1378994790342,48.926509731126174,55.11182824175183,56.240663721026664,57.41017498402272,58.269267534129504,58.72479100815719,59.99670513503136,61.21891897262438,62.10037630171372,63.07179391426059,63.38101677747876,69.57657419051628,70.63872498996795,71.73200647529238,72.01393134987372,72.4856137832624,72.65410976825133,73.04609492781334,73.7978280836154,74.50295487596904,74.87536804600649,81.10840658756231,81.54549641237982,82.62436664630934,83.76623823596967,84.18315117293793,84.4669086544134,84.89746728570077,85.28229824453469,85.47502872642633,85.67123394988124,87.98444672515222,88.0461595469504,88.18088744747295,88.3885975362437,88.46973813417252
Trial_2,-0.9035521219816255,0.9767271073471544,3.7152990707254685,6.131617639706173,8.528207178937295,10.137266591437308,11.643427962308628,13.948171219701107,15.841625340923128,17.77668265564904,18.8526573719414,24.496732091211822,27.09301013745804,29.149764583190414,30.75423735777312,32.44404588766176,33.73179992162445,34.55440159305746,35.96513959628325,36.762585507875585,37.15069395449434,43.78868208777028,45.505090127751636,47.02483733185103,49.917442844258595,50.96778178392033,52.02298894728518,54.58224512023751,56.42661244941285,58.17570959751292,59.129905929208434,66.10556155421024,67.91843522827202,69.18740313854877,70.4785589970815,71.75941816656066,72.87470588669237,73.76706414591473,74.35860020348211,75.51627420734977,75.59056202439237,79.19819860610916,79.84541224376055,80.25949763513167,80.74222811254128,81.24886432710137,81.99421013864387,82.685081167071,83.35612339563767,83.38713319606084,83.56499617717365,86.87708277209738,87.06736027010588,87.60284901044216,87.89669461581526,88.01096200327385,88.1684553202282,88.19573906076965,88.23249883576467,88.5779336518387,88.59601486890884,89.18770246066077,89.19043507191607,89.19503410504669,89.20615272910294,89.23022663526231
Trial_3,-2.2229903678791696,-0.3541171520175675,1.7486277484507147,4.237436391336434,6.912186660266794,8.971867228929009,10.498537160529754,12.463172656378038,13.757384007847794,14.878432796506978,16.32012489792006,21.87457788394011,22.903389554368268,23.79149341933951,24.714099234951032,26.07450605654895,27.090121592715118,28.317325707409722,28.93203945778344,29.466465422104793,30.6444530362348,37.68163930788546,38.305032036973415,39.099448975155035,39.981526695606135,40.8686619593166,41.65412246257476,42.61154601982129,44.09211467591662,45.812946728608495,47.04884767659242,55.01399836624754,56.74999095441502,58.18629209460127,58.71466177971353,59.27514182990255,60.705982446714316,61.42467065387469,62.31930986745001,62.75101407316597,63.72778326159127,70.50993470941991,71.16510975873126,71.5895368226625,72.09375814561041,72.34694717749666,73.2145440030046,73.77819112208972,74.32694911548269,74.72871211249826,75.10725284417498,80.71110244441493,81.51953086410063,82.27550518205386,83.07408089620095,83.38461163508146,83.5753350549665,83.57654029922352,83.93873022779397,83.98033374222074,84.63942822401089,87.45385223774149,87.71372733609063,88.00765705451352,88.21731917476635,88.37776302145845
Trial_4,-0.22401953743732256,2.159479384568066,4.291370773668999,7.332608877248398,9.633237478998044,11.523429625293806,13.060960683106641,14.921445935386537,16.665633735867008,17.9236861812602,19.294882633715186,25.375908783322224,27.58580631500248,29.645214948477722,31.30679961076619,32.492112689725964,33.56716114556355,35.056763391822614,35.57206290903915,36.83238775296231,37.50230473275163,44.92073806755561,45.892277692139594,47.28107465192241,48.60598333355094,50.74574846913617,52.163633284404256,53.26924065770263,54.15848067829531,55.3860293885278,56.94275041719371,65.90396280935519,67.09327251184123,68.72563856959476,69.7380489889374,70.87931979617316,72.30468614050163,73.95520001055928,75.37497336934575,76.15140422683216,77.04644822147979,82.73017137780498,83.06544471203686,83.27392779838891,83.80915695080265,83.8359974391128,84.07391798120548,84.3260819543249,84.38049457358653,84.3920808239203,84.44150510375833,86.20715277075703,86.23760723699786,86.36056071582446,86.37997761631661,86.57213877121426,86.61523112733248,86.65038499968327,86.84620611322572,86.98462832052846,87.0103086214808,88.05201347854023,88.09611205501497,88.14166544240888,88.1849500997231,88.20815639486176
Trial_5,1.057927910236465,3.7537842702369217,6.556825133786754,9.703197960296608,12.391369850264264,15.86119668283799,18.80585542299624,21.220876519875983,23.46605076760877,24.307967235564448,25.510847273355104,31.464168810478885,31.907336524388356,33.369541177879206,35.15642525052497,36.360730159742225,37.44519722365437,38.30594261983847,39.11016200035479,39.554767290192956,39.99469327500199,45.47817707424668,46.818288331370766,47.89123914404616,49.640005529819575,51.22262770377028,52.23508614524575,53.65808055499931,54.371553186926285,55.07556805638538,55.854603140156485,61.99741161839597,62.86919910586301,63.87819102780444,64.81318412251957,65.44402546055694,66.81445096457246,67.58982356818295,68.40650303677377,69.23842031845378,69.98221291498147,76.32706183086454,77.27056616637438,77.4810094959678,77.77239772920554,78.27332887677878,78.67762747861326,79.11725264447729,79.46613213886101,80.09448343727017,80.47816153153046,83.59489760922082,83.90153001044267,84.24919899170048,84.59615323661568,84.8029083426662,84.86557078811096,84.8954140785059,85.12496718835936,85.2092832697829,85.53197191476843,86.93092602474162,87.13099351158962,87.26897378588967,87.31272811636175,87.33829899795772
Trial_6,-0.9943452818708693,0.6650791328309138,3.1802438190823774,5.466822035392074,8.007780591712635,10.890312771732862,12.93797609052879,14.154511607475142,15.150172733930509,15.822992440300304,16.599514109676328,20.97185333793228,21.869209633904056,22.976595418237412,24.528470765994456,26.045651878004666,27.85035693129534,29.38389510652335,30.627012336949925,31.51836646162851,32.49397834205488,35.67940195133863,36.12801468870421,36.65115148558929,37.34969341282974,38.7109713544586,39.49038922407781,40.59290717590959,41.257458854258715,41.70363401558809,42.150802599105624,48.07808260194925,49.304135704141146,50.88805131637411,51.72078831307772,52.42683219092969,54.18940868307356,54.97096670121469,55.493229270122356,56.687222653802294,56.99350140915139,61.349778150633036,61.65275040529579,61.91142148298579,62.35793536470723,63.11774171432895,63.4307561989512,63.82251774421584,64.09908941744267,64.27567528462433,65.08872524545802,69.83143628038972,70.57784912691665,70.79860899965516,71.16478417160742,71.71976045796995,72.34246239508013,72.8152433300379,72.94696769129374,73.3359614100039,73.9009431692141,77.65037009464353,77.81026297180532,78.05011530277682,78.10493558308588,78.41812095793753
Trial_7,0.9543365990789856,3.1600814901354797,5.340411611134524,9.13243054372903,11.41213617532565,15.205934485423258,18.451634591095655,21.18528999907876,23.082963785557173,25.366521677748647,26.560173452466735,36.91040414258164,39.92228049484974,43.84893905089577,46.2312536506606,49.06522884649722,52.64071442084449,55.23556307721833,57.34808634465884,58.50682486645314,59.124189046486954,67.14564856673479,68.30507219318456,70.7605217222139,72.96822631376969,74.94129800691807,76.46890337241494,78.34732972217105,79.12974600474678,79.34827968333794,80.29813318871828,83.99182484471282,84.48631896650281,84.8069102032202,85.23533189906193,86.13571519743847,86.7991553318541,86.85615422789903,87.18771142998911,87.34441416283131,87.42640761381945,88.48289217542907,88.50253657557097,88.50818430575984,88.56018405680861,88.58458419655959,88.61521023222252,88.62968360673916,88.6955506445679,88.72425490738249,88.73523687543337,89.63361656009823,89.66082793223133,89.66262793223133,89.67213106149673,89.68970591772475,89.6984778495198,89.6984778495198,89.71166990463702,89.73213230754428,89.73475098314668,90.46050450861352,90.46050450861352,90.46416914917688,90.46416914917688,90.47572343631808
Trial_8,-0.46269099182801016,1.5676494915651773,4.850689566034247,7.56642108746647,10.052979644833156,12.085576144058074,14.270669196078732,15.748282219420187,16.824164596192368,17.818471112743474,18.44073001391839,22.021769339657258,23.145395606316505,23.737204165885295,24.366320828611475,25.526989036340524,26.641054287757996,27.084311404721674,27.85163461534073,28.459617574585362,29.81111299000133,33.58201372178488,34.28496565349974,35.16387679878969,36.26646198214096,36.747645147611046,37.36557418902684,38.97705905086559,39.55812374350844,40.63163072109337,41.65463038387911,47.01356706826748,47.88690648227921,49.43273353147379,49.82859251575728,50.4453763259502,51.10949106813662,51.508307929020496,52.16559119950958,53.40349945066724,53.89463643735732,58.26541284777535,58.758935318096526,59.89252147159161,60.714035413794456,61.05066827676867,61.43117625831533,62.044791071571055,62.58148129583169,62.991584998660734,63.60568617352003,66.28135987031972,66.37032542138876,66.92889939439152,67.54952990277557,67.69634721438754,67.88235521776382,68.22066876624845,68.75422745449345,69.00214400208266,69.14185016017676,71.91052911700476,71.99773847836882,72.31661491918244,72.77470003490161,72.98058458409619
Trial_9,-0.7764883001074164,0.8640243432207362,2.157472956338313,4.623190308410941,7.725718058032262,10.369200631182132,12.529148096953884,15.06444329119331,16.762317951006285,18.49436817321281,19.532715025779922,26.273996897019252,28.986338404127654,30.995515224524453,33.89857827550477,35.333313800373794,36.89552104533025,38.315506936929644,39.158543046974906,39.86668449478133,41.29570877423583,45.20536905626296,46.73893809361114,47.959996203797544,49.02959234155335,50.23435357413961,51.133696178242324,51.99085599420785,52.70929814279595,53.41475382753738,53.95339587088088,58.023143814389684,59.14405159052537,59.41305330337621,59.91425447369108,60.59913391707954,61.32405763767376,61.870188240688904,63.07583941272431,63.79859126975605,64.53222770190374,68.75941796743471,69.78922644214408,71.1866413800722,72.42186347128487,73.21064417378237,73.63365749991137,73.78759115116809,74.54504486698312,74.83406148098686,75.1109426065836,78.75243225263992,79.19100481080541,80.32302561829911,80.8796883447302,81.85433931984252,82.97160294877925,83.83665614853093,83.90226045407171,84.33545251420867,84.77036445893705,85.6281519777219,85.64735089468245,85.66706088915299,85.68624433376458,85.7006193658047
Trial_10,-0.6694532808387845,1.3401329651152463,3.997777496520641,5.970647171893172,8.412646415707236,11.374377994062462,14.452701824216634,16.4609734911947,18.10906672865563,19.000845786139735,19.6956489024595,23.803867059690866,25.482242768981887,26.726543113870658,28.354999572903797,29.58473454498372,30.778183225273615,32.18355536981306,32.587902445942504,33.558256744180376,34.894682721517135,41.25784458553111,42.602413177475526,42.99628076975881,44.52977820175991,45.274279881968326,46.43976959720898,47.288498678228805,48.340648154723475,49.320458624192106,50.51922237999915,57.58647446478104,58.424976987151084,59.02285407765855,59.664377906621446,60.74545122708314,61.51998802562955,61.873403419812455,62.385990296081346,62.66068270591025,63.230814518847076,69.65099769372807,70.64581703685579,71.35857908194721,71.65275509857936,72.26876737858129,72.4460452484284,72.67458529342741,73.15343114310298,73.75169349775273,74.2449240789839,80.46322162527909,80.58814945663399,80.6012517655977,80.68778074730493,80.88296866681262,81.10191376947004,81.32692047125434,81.32692047125434,81.48509842160975,81.75103401809741,85.71051032176379,85.8735731208906,85.92806207377116,86.03365588356071,86.08234542127946
