,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11
Trial_1,14.544942303202355,15.613880148406722,16.206395310134543,15.621558726617712,14.030952599762028,13.41554759499757,12.930465101594665,12.014322824019947,11.288780733170682,12.912203585275591,13.189772292225209
Trial_2,15.792851123432554,17.039897758086575,18.384748088847378,18.04322357755468,16.80061427956148,17.412281283529985,20.967550984971666,21.257304528189167,22.486064183140673,22.548138154896396,22.50269004573796
Trial_3,9.97960526447766,11.51302853852844,13.342392429202576,12.912569266060714,11.608328045451517,14.190769627885267,16.085782251883106,17.395034221759335,18.26635440359821,18.88134129248494,20.750592733173715
Trial_4,10.639167139309988,11.033145366093665,10.74350009701496,9.709688532180545,8.675237637830056,5.938232180040379,4.517638747143921,3.8868044547853224,4.011361081129935,4.178935100962477,4.546699262973028
Trial_5,9.884270571184027,14.175865386336795,14.154989325107346,13.310887314531112,12.528214475179364,14.153946880568693,13.717788757224989,14.443375024174081,13.868914564221466,13.440036945432862,14.605272473953068
Trial_6,10.362494164883232,11.307647412064798,11.94148846499104,10.726160166414768,9.116085045503736,8.182985081269562,7.592514809226915,6.249593509902118,5.047805133354932,4.901057143359114,5.288047110749292
Trial_7,12.199190959682008,13.699469455947813,15.645257540598788,15.647294890971027,17.42383650453683,17.62262950418314,17.89900583347351,18.733320741279773,18.215495770985424,17.697160459302225,18.05338133913495
Trial_8,10.316148620280929,11.4557342738582,12.633801072213974,12.386650662315123,10.66555696664666,11.16889256916724,11.075954590028116,9.951845320856064,9.747063556800303,11.211593802334685,11.647770434876483
Trial_9,8.519747503909683,10.859432435508252,11.495801124024041,10.992844919799053,9.73648653089197,8.816779281854586,8.417002674648815,7.342502885956737,6.358696929191508,8.57681435945985,10.16565308002658
Trial_10,13.860646917319638,14.456279022731445,16.756856011771845,16.741212767106017,15.948022533350997,14.92065331169179,14.434096293921757,15.488112147325644,15.377376225275254,15.289193372459104,15.49056077830921
